Date GPS,Date de réception,Type evt.,Contact,Vitesse,Vitesse du tronçon,Adresse,Dist. cumulée,Temps moteur,Niveau de carburant,RPM du moteur,Autonomie,Battery level (%),Pédale d'accélération,Distance avant entretien,Température du moteur,Consommation totale de carburant,Temps total de standby,Sat,Jours avant entretien,T°1,T°2,T°3,T°4
06/08/2020 - 12:30:26,06/08/2020 - 12:41:09,Décélération brusque,ON, - , - ,"(FR) - D96 , 13860 Peyrolles-en-Provence","61,5 km",3:38:00,0.0%,0,-,,-,-,-,0.0l,,12,,"21,2 °C","29,7 °C","30,7 °C","30,6 °C"
06/08/2020 - 12:30:52,06/08/2020 - 12:41:38,Accélération brusque,ON, - , - ,"(FR) - Rue de la Croix-Blanche 28-28, 13860 Peyrolles-en-Provence","61,5 km",3:38:00,0.0%,0,-,,-,-,-,0.0l,,8,,"21,2 °C","29,7 °C","30,7 °C","30,6 °C"
06/08/2020 - 12:31:12,06/08/2020 - 12:41:42,Virage brusque,ON, - , - ,"(FR) - D96 , 13860 Peyrolles-en-Provence","61,7 km",3:39:00,0.0%,0,-,,-,-,-,0.0l,,8,,"21,2 °C","29,7 °C","30,8 °C","30,6 °C"
06/08/2020 - 12:35:03,06/08/2020 - 12:41:48,Suivi,ON, - , - ,"(FR) - D96 , 13490 Jouques","66,5 km",3:43:00,0.0%,0,-,,-,-,-,0.0l,,11,,"13,8 °C","21,3 °C","29,9 °C","31,0 °C"
06/08/2020 - 12:37:41,06/08/2020 - 12:41:52,Suivi,ON, - , - ,"(FR) - D96 , 13490 Jouques","70,2 km",3:45:00,0.0%,0,-,,-,-,-,0.0l,,7,,"13,9 °C","21,3 °C","30,2 °C","31,1 °C"
06/08/2020 - 12:37:43,06/08/2020 - 12:41:59,Accélération brusque,ON, - , - ,"(FR) - D96 , 13490 Jouques","70,2 km",3:45:00,0.0%,0,-,,-,-,-,0.0l,,8,,"13,9 °C","21,3 °C","30,2 °C","31,1 °C"
06/08/2020 - 12:37:59,06/08/2020 - 12:42:04,Suivi,ON, - , - ,"(FR) - D96 , 13490 Jouques","70,5 km",3:45:00,0.0%,0,-,,-,-,-,0.0l,,12,,"13,9 °C","21,3 °C","30,2 °C","31,1 °C"
06/08/2020 - 12:38:16,06/08/2020 - 12:42:08,Suivi,ON, - , - ,"(FR) - D96 , 13490 Jouques","70,7 km",3:46:00,0.0%,0,-,,-,-,-,0.0l,,12,,"13,9 °C","21,3 °C","30,2 °C","31,2 °C"
06/08/2020 - 12:38:50,06/08/2020 - 12:42:14,Suivi,ON, - , - ,"(FR) - D996 , 84120 Mirabeau","71,3 km",3:46:00,0.0%,0,-,,-,-,-,0.0l,,11,,"13,9 °C","21,3 °C","30,3 °C","31,2 °C"
06/08/2020 - 12:39:12,06/08/2020 - 12:42:19,Suivi,ON, - , - ,"(FR) - D996 , 84120 Mirabeau","71,7 km",3:47:00,0.0%,0,-,,-,-,-,0.0l,,7,,"13,9 °C","21,3 °C","30,3 °C","31,2 °C"
06/08/2020 - 12:39:13,06/08/2020 - 12:42:39,Virage brusque,ON, - , - ,"(FR) - D996 , 84120 Mirabeau","71,7 km",3:47:00,0.0%,0,-,,-,-,-,0.0l,,7,,"13,9 °C","21,3 °C","30,3 °C","31,2 °C"
06/08/2020 - 12:39:17,06/08/2020 - 12:49:48,Accélération brusque,ON, - , - ,"(FR) - D996 , 84120 Mirabeau","71,8 km",3:47:00,0.0%,0,-,,-,-,-,0.0l,,7,,"13,9 °C","21,3 °C","30,3 °C","31,2 °C"
06/08/2020 - 12:41:46,06/08/2020 - 12:49:54,Suivi,ON, - , - ,"(FR) - D996 , 84120 Beaumont-de-Pertuis","75,1 km",3:49:00,0.0%,0,-,,-,-,-,0.0l,,10,,"14,0 °C","21,4 °C","30,4 °C","31,3 °C"
06/08/2020 - 12:42:04,06/08/2020 - 12:50:07,Virage brusque,ON, - , - ,"(FR) - D996 , 84120 Beaumont-de-Pertuis","75,6 km",3:50:00,0.0%,0,-,,-,-,-,0.0l,,10,,"14,0 °C","21,4 °C","30,5 °C","31,3 °C"
06/08/2020 - 12:42:28,06/08/2020 - 12:50:29,Suivi,ON, - , - ,"(FR) - D996 , 84120 Beaumont-de-Pertuis","76,1 km",3:50:00,0.0%,0,-,,-,-,-,0.0l,,8,,"14,0 °C","21,4 °C","30,5 °C","31,3 °C"
06/08/2020 - 12:43:56,06/08/2020 - 12:50:34,Suivi,ON, - , - ,"(FR) - D996 , 84120 Beaumont-de-Pertuis","78,0 km",3:51:00,0.0%,0,-,,-,-,-,0.0l,,9,,"14,1 °C","21,5 °C","30,6 °C","31,4 °C"
06/08/2020 - 12:44:33,06/08/2020 - 12:50:39,Virage brusque,ON, - , - ,"(FR) - D996 , 84120 Beaumont-de-Pertuis","78,8 km",3:52:00,0.0%,0,-,,-,-,-,0.0l,,10,,"14,2 °C","21,5 °C","30,7 °C","31,5 °C"
06/08/2020 - 12:48:12,06/08/2020 - 12:50:44,Virage brusque,ON, - , - ,"(FR) - D4096 , 04220 Corbières","83,7 km",3:56:00,0.0%,0,-,,-,-,-,0.0l,,11,,"14,2 °C","21,5 °C","31,6 °C","31,3 °C"
06/08/2020 - 12:48:51,06/08/2020 - 12:50:50,Virage brusque,ON, - , - ,"(FR) - D4096 , 04220 Corbières","84,5 km",3:56:00,0.0%,0,-,,-,-,-,0.0l,,12,,"14,3 °C","21,5 °C","31,7 °C","31,3 °C"
06/08/2020 - 12:50:46,06/08/2020 - 12:50:56,Virage brusque,ON, - , - ,"(FR) - D4096 , 04220 Sainte-Tulle","87,2 km",3:58:00,0.0%,0,-,,-,-,-,0.0l,,10,,"14,3 °C","21,5 °C","31,7 °C","31,4 °C"
06/08/2020 - 12:55:34,06/08/2020 - 12:55:48,Accélération brusque,ON, - , - ,"(FR) - Avenue Frédéric Mistral , 04100 Manosque","91,3 km",4:03:00,0.0%,0,-,,-,-,-,0.0l,,12,,"14,5 °C","21,7 °C","31,2 °C","31,9 °C"
06/08/2020 - 12:55:40,06/08/2020 - 12:55:54,Suivi,ON, - , - ,"(FR) - Avenue Frédéric Mistral , 04100 Manosque","91,3 km",4:03:00,0.0%,0,-,,-,-,-,0.0l,,13,,"14,5 °C","21,7 °C","31,2 °C","31,9 °C"
06/08/2020 - 12:55:56,06/08/2020 - 12:56:00,Virage brusque,ON, - , - ,"(FR) - Boulevard Georges Pompidou , 04100 Manosque","91,4 km",4:03:00,0.0%,0,-,,-,-,-,0.0l,,12,,"14,5 °C","21,7 °C","31,2 °C","32,0 °C"
06/08/2020 - 12:56:07,06/08/2020 - 12:56:11,Virage brusque,ON, - , - ,"(FR) - Boulevard Georges Pompidou 206-212, 04100 Manosque","91,6 km",4:04:00,0.0%,0,-,,-,-,-,0.0l,,9,,"14,5 °C","21,7 °C","31,2 °C","32,0 °C"
06/08/2020 - 12:56:44,06/08/2020 - 12:56:48,Virage brusque,ON, - , - ,"(FR) - Avenue Jean Moulin , 04100 Manosque","92,1 km",4:04:00,0.0%,0,-,,-,-,-,0.0l,,8,,"14,5 °C","21,7 °C","31,3 °C","32,0 °C"
06/08/2020 - 12:56:46,06/08/2020 - 12:56:53,Décélération brusque,ON, - , - ,"(FR) - Avenue Jean Moulin 234-234, 04100 Manosque","92,1 km",4:04:00,0.0%,0,-,,-,-,-,0.0l,,9,,"14,5 °C","21,7 °C","31,3 °C","32,0 °C"
06/08/2020 - 12:56:57,06/08/2020 - 12:57:00,Virage brusque,ON, - , - ,"(FR) - Avenue Jean Moulin , 04100 Manosque","92,3 km",4:04:00,0.0%,0,-,,-,-,-,0.0l,,10,,"14,5 °C","21,7 °C","31,3 °C","32,0 °C"
06/08/2020 - 12:57:01,06/08/2020 - 12:57:06,Décélération brusque,ON, - , - ,"(FR) - Avenue Jean Moulin 236-284, 04100 Manosque","92,4 km",4:05:00,0.0%,0,-,,-,-,-,0.0l,,9,,"14,5 °C","21,7 °C","31,3 °C","32,0 °C"
06/08/2020 - 12:57:33,06/08/2020 - 12:57:37,Suivi,ON, - , - ,"(FR) - D5 , 04100 Manosque","92,6 km",4:05:00,0.0%,0,-,,-,-,-,0.0l,,9,,"14,6 °C","21,7 °C","31,3 °C","32,0 °C"
06/08/2020 - 12:57:43,06/08/2020 - 12:58:02,Virage brusque,ON, - , - ,"(FR) - D5 6-11, 04100 Manosque","92,7 km",4:05:00,0.0%,0,-,,-,-,-,0.0l,,7,,"14,6 °C","21,7 °C","31,3 °C","32,0 °C"
06/08/2020 - 12:58:00,06/08/2020 - 12:58:09,Décélération brusque,ON, - , - ,"(FR) - D5 , 04100 Manosque","93,0 km",4:05:00,0.0%,0,-,,-,-,-,0.0l,,7,,"14,6 °C","21,7 °C","31,3 °C","32,0 °C"
06/08/2020 - 12:58:20,06/08/2020 - 12:59:49,Position,ON, - , - ,"(FR) - Boulevard Casimir Pelloutier 3-5, 04100 Manosque","93,0 km",4:06:00,0.0%,-,-,,-,-,-,0.0l,,7,,"21,7 °C","31,5 °C","32,2 °C","31,8 °C"
06/08/2020 - 12:58:21,06/08/2020 - 12:59:53,Arrêt,OFF, - , - ,"(FR) - Boulevard Casimir Pelloutier 3-5, 04100 Manosque","93,0 km",4:06:00,0.0%,-,-,,-,-,-,0.0l,,7,,"21,7 °C","31,5 °C","32,2 °C","31,8 °C"
